Index,len,Filename,p,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,FP/P
2677,3022,BRFC_alpha_0_5_0_0_0_0_Hard.csv,0.84,1047,1903,0.6450847457627119,670573,5871,110487,15769,0.7286968576709797,0.046500760359903685
34290,35663,BRFC_alpha_0_5_0_0_0_0_Medium.csv,0.88,628,840,0.5722070844686649,670413,6031,118278,7978,0.5694910414733386,0.04776802686604993
158888,164232,BRFC_alpha_0_5_0_0_0_0_Easy.csv,0.8955714285714287,1,0,0.0,670131,6313,120868,5388,0.4604734638065123,0.05000158408313268
3013,3386,BRFC_alpha_0_5_0_0_0_1_Hard.csv,0.84,1142,1774,0.6083676268861454,670640,5804,111826,14430,0.7131560739349609,0.045970092510454946
38909,40312,BRFC_alpha_0_5_0_0_0_1_Medium.csv,0.885,112,134,0.5447154471544715,670185,6259,117667,8589,0.5784617456896551,0.049573881637308324
158888,164232,BRFC_alpha_0_5_0_0_0_1_Easy.csv,0.8955714285714287,1,0,0.0,670131,6313,120868,5388,0.4604734638065123,0.05000158408313268
2831,3187,BRFC_alpha_0_5_0_0_1_0_Hard.csv,0.84,1164,1973,0.6289448517692062,670504,5940,110445,15811,0.7269091076272355,0.047047269040679254
38023,39540,BRFC_alpha_0_5_0_0_1_0_Medium.csv,0.88,643,830,0.5634758995247794,670196,6248,118142,8114,0.5649630970616906,0.049486757065010774
158806,164214,BRFC_alpha_0_5_0_0_1_0_Easy.csv,0.8953671802054154,2,1,0.3333333333333333,670131,6313,120822,5434,0.46258619221929004,0.05000158408313268
3141,3535,BRFC_alpha_0_5_0_0_1_1_Hard.csv,0.84,1096,1878,0.6314727639542703,670563,5881,111465,14791,0.7155089009287926,0.04657996451653783
43727,45174,BRFC_alpha_0_5_0_0_1_1_Medium.csv,0.8882525252525252,1,0,0.0,670131,6313,117759,8497,0.5737339635381499,0.05000158408313268
158806,164214,BRFC_alpha_0_5_0_0_1_1_Easy.csv,0.8953671802054154,2,1,0.3333333333333333,670131,6313,120822,5434,0.46258619221929004,0.05000158408313268
2690,3033,BRFC_alpha_0_5_0_1_0_0_Hard.csv,0.8398333333333334,0,1,1.0,669920,6524,109297,16959,0.7221820040028957,0.05167279178811304
34609,35965,BRFC_alpha_0_5_0_1_0_0_Medium.csv,0.88,649,904,0.5820991629104958,670406,6038,118347,7909,0.5670753567075356,0.04782346977569383
