p,Filename,Neg,Pos,$m$Prec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}$
0.24,RFC_5_Fold_Hard_Test,10007,5683,0.36220522625876356,588197,17413,93796,14160,0.44848446457416147,0.1311645485197673,0.1612971951535811,0.04424678305860986
0.64,RFC_5_Fold_Hard_Test_Transformed_100,2047,1242,0.3776223776223776,585601,20009,92322,15634,0.43862750049098,0.14481825929082218,0.18534402904887176,0.049950530154183354
0.72,RFC_5_Fold_Hard_Test_Transformed_98,1768,1078,0.3787772312016866,585442,20168,92225,15731,0.4382016212150756,0.14571677350031495,0.1868168513097929,0.05030929164225874
0.77,RFC_5_Fold_Hard_Test_Transformed_95,1616,979,0.37726396917148364,584963,20647,91935,16021,0.4369204756190684,0.14840305309570564,0.19125384415873134,0.05138697751854769
0.79,BRFC_5_Fold_alpha_0_5_Hard_Test,1700,1667,0.4950994950994951,591915,13695,84284,23672,0.633500147188696,0.21927451924858277,0.1268572381340546,0.052366564550441023
0.79,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_100,1700,1667,0.4950994950994951,591915,13695,84284,23672,0.633500147188696,0.21927451924858277,0.1268572381340546,0.052366564550441023
0.82,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_98,1664,1641,0.49652042360060517,591955,13655,84346,23610,0.633570374345901,0.2187002111971544,0.12648671681055246,0.052223620520035985
0.83,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_95,1679,1634,0.4932085722909749,591922,13688,84295,23661,0.6335109373744946,0.21917262588461967,0.12679239690244173,0.052341339133310724
0.79,BRFC_5_Fold_alpha_balanced_Hard_Test,1676,1636,0.4939613526570048,592245,13365,85101,22855,0.6310049696300386,0.211706621216051,0.12380043721516173,0.050759144914415764
0.79,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_100,1676,1636,0.4939613526570048,592245,13365,85101,22855,0.6310049696300386,0.211706621216051,0.12380043721516173,0.050759144914415764
0.82,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_98,1649,1617,0.4951010410287814,592279,13331,85131,22825,0.6312921783383117,0.21142873022342437,0.12348549409018489,0.05066945454239692
0.83,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_95,1665,1637,0.4957601453664446,592248,13362,85107,22849,0.6309961061555881,0.21165104301752566,0.12377264811589907,0.05074653220585062
0.42,LogReg_5_Fold_alpha_0_5_Hard_Test,1542,1123,0.4213883677298311,588534,17076,90632,17324,0.5036046511627907,0.16047278520878877,0.15817555300307531,0.04820857496012983
0.45,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_100,1556,1072,0.4079147640791476,587560,18050,89974,17982,0.4990563943161634,0.1665678609803994,0.1671977472303531,0.0504956794466104
0.54,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_98,1211,864,0.4163855421686747,587671,17939,90052,17904,0.4995117596183355,0.1658453443995702,0.1661695505576346,0.05023081256674225
0.61,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_95,989,750,0.43128234617596317,588056,17554,90313,17643,0.5012643122993437,0.16342769276371855,0.16260328281892622,0.049325500374177024
0.81,LogReg_5_Fold_alpha_balanced_Hard_Test,2402,1723,0.4176969696969697,587594,18016,90638,17318,0.49012282787117223,0.16041720701026344,0.16688280410537626,0.04951749382677986
0.82,LogReg_5_Fold_alpha_balanced_Hard_Test_Transformed_100,2344,1618,0.4083796062594649,588560,17050,91248,16708,0.49493453403637655,0.1547667568268554,0.15793471414279892,0.047308868415815775
0.84,LogReg_5_Fold_alpha_balanced_Hard_Test_Transformed_98,2085,1529,0.4230769230769231,587647,17963,90681,17275,0.49023781145354445,0.1600188965874986,0.1663918633517359,0.049382958268751595
0.86,LogReg_5_Fold_alpha_balanced_Hard_Test_Transformed_95,1952,1453,0.42672540381791485,587627,17983,90666,17290,0.4901766223457035,0.16015784208381192,0.16657712401348698,0.0494320076909494
0.5,AdaBoost_5_Fold_Hard_Test,582309,97128,0.14295365133191157,596137,9473,97288,10668,0.5296658557171938,0.09881803697802809,0.08774871243840084,0.028225840356743456
0.64,AdaBoost_5_Fold_Hard_Test_Transformed_100,3383,2347,0.4095986038394415,587295,18315,90405,17551,0.4893492444097474,0.16257549371966357,0.16965245099855497,0.05026304504418652
0.73,AdaBoost_5_Fold_Hard_Test_Transformed_98,2171,1481,0.40553121577217965,587457,18153,90522,17434,0.48989799645938126,0.16149171884841973,0.1681518396383712,0.049872051078666865
0.78,AdaBoost_5_Fold_Hard_Test_Transformed_95,1776,1237,0.41055426485230667,587937,17673,90854,17102,0.4917900790797987,0.15841639186335174,0.16370558375634517,0.04873410448367775
0.8,BalBag_5_Fold_Hard_Test,16401,12553,0.43354976859846656,593500,12110,90563,17393,0.5895332678032742,0.16111193449183,0.11217533069028122,0.0413458600886253
0.8,BalBag_5_Fold_Hard_Test_Transformed_100,16401,12553,0.43354976859846656,593500,12110,90563,17393,0.5895332678032742,0.16111193449183,0.11217533069028122,0.0413458600886253
0.8,BalBag_5_Fold_Hard_Test_Transformed_98,16401,12553,0.43354976859846656,593500,12110,90563,17393,0.5895332678032742,0.16111193449183,0.11217533069028122,0.0413458600886253
0.8,BalBag_5_Fold_Hard_Test_Transformed_95,16401,12553,0.43354976859846656,593500,12110,90563,17393,0.5895332678032742,0.16111193449183,0.11217533069028122,0.0413458600886253
0.53,EEC_5_Fold_Hard_Test,28287,13915,0.32972370977678783,579528,26082,87989,19967,0.43360333557731984,0.1849549816591945,0.24159842898958836,0.06453362407962263
0.62,EEC_5_Fold_Hard_Test_Transformed_100,2963,1927,0.39406952965235176,583863,21747,90717,17239,0.4421843738778023,0.15968542739634667,0.20144318055504093,0.05463545068010527
0.72,EEC_5_Fold_Hard_Test_Transformed_98,4065,2751,0.40360915492957744,585709,19901,91959,15997,0.44562371162738873,0.14818074030160436,0.18434362147541591,0.05030789023019595
0.78,EEC_5_Fold_Hard_Test_Transformed_95,3545,2359,0.399559620596206,586458,19152,92424,15532,0.4478145542613309,0.14387342991589167,0.17740560969283783,0.048606575985963456
0.51,RUSBoost_5_Fold_Hard_Test,165459,63847,0.27843580194151046,605601,9,107955,1,0.1,9.263033087554189e-06,8.33672977879877e-05,1.4014120627944718e-05
0.39,RUSBoost_5_Fold_Hard_Test_Transformed_100,22564,16888,0.42806448342289366,591847,13763,101982,5974,0.3026802452247049,0.05533735966504872,0.1274871243840083,0.02765966988337449
0.79,RUSBoost_5_Fold_Hard_Test_Transformed_98,9417,6670,0.4146205010256729,583255,22355,94594,13362,0.37410756782484533,0.12377264811589907,0.20707510467227389,0.05005423464683015
