p,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,$\frac{\text{FP}}{\text{P}}$
0.0,0,0,nan,0,"85,000",0,"15,000",0.15,1.00,5.67
0.05,"2,495",113,0.04,"2,495","82,505",113,"14,887",0.15,0.99,5.50
0.1,"13,763",242,0.02,"16,258","68,742",355,"14,645",0.18,0.98,4.58
0.15,"20,125",448,0.02,"36,383","48,617",803,"14,197",0.23,0.95,3.24
0.2,"18,386",876,0.05,"54,769","30,231","1,679","13,321",0.31,0.89,2.02
0.25,"13,137","1,517",0.10,"67,906","17,094","3,196","11,804",0.41,0.79,1.14
0.3,"8,007","2,258",0.22,"75,913","9,087","5,454","9,546",0.51,0.64,0.61
0.35,"5,197","3,223",0.38,"81,110","3,890","8,677","6,323",0.62,0.42,0.26
0.4,"2,376","3,560",0.60,"83,486","1,514","12,237","2,763",0.65,0.18,0.10
0.45,"1,181","2,308",0.66,"84,667",333,"14,545",455,0.58,0.03,0.02
0.5,333,455,0.58,"85,000",0,"15,000",0,nan,0.00,0.00
0.55,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00
0.6,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00
0.65,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00
0.7,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00
0.75,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00
0.8,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00
0.85,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00
0.9,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00
0.95,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00
1.0,0,0,nan,"85,000",0,"15,000",0,nan,0.00,0.00
