p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}$
0.0,0,0,nan,0,"85,000",0,"15,000",0.15,1.00,5.67,1.00
0.01,0,9,1.00,0,"85,000",9,"14,991",0.15,1.00,5.67,1.00
0.02,6,10,0.62,6,"84,994",19,"14,981",0.15,1.00,5.67,1.00
0.03,44,11,0.20,50,"84,950",30,"14,970",0.15,1.00,5.66,1.00
0.04,97,10,0.09,147,"84,853",40,"14,960",0.15,1.00,5.66,1.00
0.05,153,13,0.08,300,"84,700",53,"14,947",0.15,1.00,5.65,1.00
0.06,202,12,0.06,502,"84,498",65,"14,935",0.15,1.00,5.63,0.99
0.07,323,9,0.03,825,"84,175",74,"14,926",0.15,1.00,5.61,0.99
0.08,431,18,0.04,"1,256","83,744",92,"14,908",0.15,0.99,5.58,0.99
0.09,569,23,0.04,"1,825","83,175",115,"14,885",0.15,0.99,5.54,0.98
0.1,656,22,0.03,"2,481","82,519",137,"14,863",0.15,0.99,5.50,0.97
0.11,842,28,0.03,"3,323","81,677",165,"14,835",0.15,0.99,5.45,0.97
0.12,857,22,0.03,"4,180","80,820",187,"14,813",0.15,0.99,5.39,0.96
0.13,"1,055",24,0.02,"5,235","79,765",211,"14,789",0.16,0.99,5.32,0.95
0.14,"1,190",20,0.02,"6,425","78,575",231,"14,769",0.16,0.98,5.24,0.93
0.15,"1,300",24,0.02,"7,725","77,275",255,"14,745",0.16,0.98,5.15,0.92
0.16,"1,474",14,0.01,"9,199","75,801",269,"14,731",0.16,0.98,5.05,0.91
0.17,"1,489",31,0.02,"10,688","74,312",300,"14,700",0.17,0.98,4.95,0.89
0.18,"1,596",28,0.02,"12,284","72,716",328,"14,672",0.17,0.98,4.85,0.87
0.19,"1,687",34,0.02,"13,971","71,029",362,"14,638",0.17,0.98,4.74,0.86
0.2,"1,778",35,0.02,"15,749","69,251",397,"14,603",0.17,0.97,4.62,0.84
0.21,"1,805",38,0.02,"17,554","67,446",435,"14,565",0.18,0.97,4.50,0.82
0.22,"1,869",34,0.02,"19,423","65,577",469,"14,531",0.18,0.97,4.37,0.80
0.23,"1,848",39,0.02,"21,271","63,729",508,"14,492",0.19,0.97,4.25,0.78
0.24,"1,961",52,0.03,"23,232","61,768",560,"14,440",0.19,0.96,4.12,0.76
0.25,"2,052",38,0.02,"25,284","59,716",598,"14,402",0.19,0.96,3.98,0.74
0.26,"2,006",51,0.02,"27,290","57,710",649,"14,351",0.20,0.96,3.85,0.72
0.27,"1,916",45,0.02,"29,206","55,794",694,"14,306",0.20,0.95,3.72,0.70
0.28,"1,928",56,0.03,"31,134","53,866",750,"14,250",0.21,0.95,3.59,0.68
0.29,"2,059",59,0.03,"33,193","51,807",809,"14,191",0.22,0.95,3.45,0.66
0.3,"1,964",57,0.03,"35,157","49,843",866,"14,134",0.22,0.94,3.32,0.64
0.31,"1,963",81,0.04,"37,120","47,880",947,"14,053",0.23,0.94,3.19,0.62
0.32,"1,926",65,0.03,"39,046","45,954","1,012","13,988",0.23,0.93,3.06,0.60
0.33,"1,912",69,0.03,"40,958","44,042","1,081","13,919",0.24,0.93,2.94,0.58
0.34,"1,846",87,0.05,"42,804","42,196","1,168","13,832",0.25,0.92,2.81,0.56
0.35,"1,878",109,0.05,"44,682","40,318","1,277","13,723",0.25,0.91,2.69,0.54
0.36,"1,773",99,0.05,"46,455","38,545","1,376","13,624",0.26,0.91,2.57,0.52
0.37,"1,796",116,0.06,"48,251","36,749","1,492","13,508",0.27,0.90,2.45,0.50
0.38,"1,719",91,0.05,"49,970","35,030","1,583","13,417",0.28,0.89,2.34,0.48
0.39,"1,587",112,0.07,"51,557","33,443","1,695","13,305",0.28,0.89,2.23,0.47
0.4,"1,654",112,0.06,"53,211","31,789","1,807","13,193",0.29,0.88,2.12,0.45
0.41,"1,554",125,0.07,"54,765","30,235","1,932","13,068",0.30,0.87,2.02,0.43
0.42,"1,476",110,0.07,"56,241","28,759","2,042","12,958",0.31,0.86,1.92,0.42
0.43,"1,479",136,0.08,"57,720","27,280","2,178","12,822",0.32,0.85,1.82,0.40
0.44,"1,478",157,0.10,"59,198","25,802","2,335","12,665",0.33,0.84,1.72,0.38
0.45,"1,360",153,0.10,"60,558","24,442","2,488","12,512",0.34,0.83,1.63,0.37
0.46,"1,285",165,0.11,"61,843","23,157","2,653","12,347",0.35,0.82,1.54,0.36
0.47,"1,220",194,0.14,"63,063","21,937","2,847","12,153",0.36,0.81,1.46,0.34
0.48,"1,203",190,0.14,"64,266","20,734","3,037","11,963",0.37,0.80,1.38,0.33
0.49,"1,147",177,0.13,"65,413","19,587","3,214","11,786",0.38,0.79,1.31,0.31
0.5,"1,060",192,0.15,"66,473","18,527","3,406","11,594",0.38,0.77,1.24,0.30
0.51,"1,020",194,0.16,"67,493","17,507","3,600","11,400",0.39,0.76,1.17,0.29
0.52,965,213,0.18,"68,458","16,542","3,813","11,187",0.40,0.75,1.10,0.28
0.53,938,210,0.18,"69,396","15,604","4,023","10,977",0.41,0.73,1.04,0.27
0.54,857,239,0.22,"70,253","14,747","4,262","10,738",0.42,0.72,0.98,0.25
0.55,858,228,0.21,"71,111","13,889","4,490","10,510",0.43,0.70,0.93,0.24
0.56,835,253,0.23,"71,946","13,054","4,743","10,257",0.44,0.68,0.87,0.23
0.57,801,227,0.22,"72,747","12,253","4,970","10,030",0.45,0.67,0.82,0.22
0.58,689,244,0.26,"73,436","11,564","5,214","9,786",0.46,0.65,0.77,0.21
0.59,659,254,0.28,"74,095","10,905","5,468","9,532",0.47,0.64,0.73,0.20
0.6,680,276,0.29,"74,775","10,225","5,744","9,256",0.48,0.62,0.68,0.19
0.61,654,308,0.32,"75,429","9,571","6,052","8,948",0.48,0.60,0.64,0.19
0.62,575,277,0.33,"76,004","8,996","6,329","8,671",0.49,0.58,0.60,0.18
0.63,581,302,0.34,"76,585","8,415","6,631","8,369",0.50,0.56,0.56,0.17
0.64,"1,146",316,0.22,"77,731","7,269","6,947","8,053",0.53,0.54,0.48,0.15
0.65,501,325,0.39,"78,232","6,768","7,272","7,728",0.53,0.52,0.45,0.14
0.66,468,349,0.43,"78,700","6,300","7,621","7,379",0.54,0.49,0.42,0.14
0.67,427,317,0.43,"79,127","5,873","7,938","7,062",0.55,0.47,0.39,0.13
0.68,423,364,0.46,"79,550","5,450","8,302","6,698",0.55,0.45,0.36,0.12
0.69,383,355,0.48,"79,933","5,067","8,657","6,343",0.56,0.42,0.34,0.11
0.7,356,332,0.48,"80,289","4,711","8,989","6,011",0.56,0.40,0.31,0.11
0.71,361,348,0.49,"80,650","4,350","9,337","5,663",0.57,0.38,0.29,0.10
0.72,313,342,0.52,"80,963","4,037","9,679","5,321",0.57,0.35,0.27,0.09
0.73,323,346,0.52,"81,286","3,714","10,025","4,975",0.57,0.33,0.25,0.09
0.74,259,344,0.57,"81,545","3,455","10,369","4,631",0.57,0.31,0.23,0.08
0.75,285,342,0.55,"81,830","3,170","10,711","4,289",0.58,0.29,0.21,0.07
0.76,257,335,0.57,"82,087","2,913","11,046","3,954",0.58,0.26,0.19,0.07
0.77,235,326,0.58,"82,322","2,678","11,372","3,628",0.58,0.24,0.18,0.06
0.78,207,329,0.61,"82,529","2,471","11,701","3,299",0.57,0.22,0.16,0.06
0.79,220,347,0.61,"82,749","2,251","12,048","2,952",0.57,0.20,0.15,0.05
0.8,200,295,0.60,"82,949","2,051","12,343","2,657",0.56,0.18,0.14,0.05
0.81,182,302,0.62,"83,131","1,869","12,645","2,355",0.56,0.16,0.12,0.04
