p,Filename,Neg,Pos,$m$Prec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}$
0.21,RFC_5_Fold_Hard_Test,5860,2278,0.2799213565986729,563740,41870,82396,25560,0.3790597656829304,0.23676312571788508,0.3878431953758939,0.09449721539423123
0.48,RFC_5_Fold_Hard_Test_Transformed_100,1235,492,0.28488708743485813,560863,44747,81246,26710,0.37379123109002615,0.24741561376857238,0.4144929415687873,0.10014070177110457
0.53,RFC_5_Fold_Hard_Test_Transformed_98,1105,415,0.2730263157894737,560549,45061,81092,26864,0.3735001737921446,0.24884212086405572,0.4174015339582793,0.10079656261649238
0.57,RFC_5_Fold_Hard_Test_Transformed_95,876,377,0.300877893056664,561203,44407,81380,26576,0.3743995041066171,0.24617436733484013,0.41134351031901883,0.09947643245333998
0.71,BRFC_5_Fold_alpha_0_5_Hard_Test,3347,1873,0.3588122605363985,572912,32698,69901,38055,0.5378570519977951,0.35250472414687467,0.3028826558968469,0.09915410767889726
0.71,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_100,3347,1873,0.3588122605363985,572912,32698,69901,38055,0.5378570519977951,0.35250472414687467,0.3028826558968469,0.09915410767889726
0.73,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_98,3334,1866,0.35884615384615387,572921,32689,69903,38053,0.5379124141245654,0.35248619808069953,0.30279928859905886,0.09913869214620652
0.74,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_95,3215,1805,0.3595617529880478,572998,32612,69945,38011,0.5382240913017006,0.35209715069102226,0.3020860350513172,0.09897192411073398
0.7,BRFC_5_Fold_alpha_balanced_Hard_Test,3223,1835,0.3627916172400158,571943,33667,69956,38000,0.5302300919530607,0.35199525732705916,0.3118585349586869,0.10043499830429141
0.7,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_100,3223,1835,0.3627916172400158,571943,33667,69956,38000,0.5302300919530607,0.35199525732705916,0.3118585349586869,0.10043499830429141
0.72,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_98,3206,1821,0.3622438830316292,571971,33639,69963,37993,0.5303914451641725,0.3519304160954463,0.31159917003223536,0.1003859488820936
0.73,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_95,3203,1819,0.3622062923138192,571971,33639,69963,37993,0.5303914451641725,0.3519304160954463,0.31159917003223536,0.1003859488820936
